Timestamp,PositionX,PositionY,PositionZ,Speed,PathDeviation
7.860,-37.204,0.613,277.602,13.502,3.925
7.880,-37.471,0.613,277.591,13.579,3.880
7.900,-37.740,0.614,277.580,13.653,3.852
7.920,-38.011,0.613,277.569,13.730,3.843
7.940,-38.283,0.612,277.558,13.793,3.853
7.960,-38.557,0.612,277.547,13.865,3.882
7.980,-38.831,0.611,277.536,13.928,3.931
8.000,-39.108,0.611,277.524,13.994,3.999
8.020,-39.385,0.610,277.510,14.052,4.087
8.040,-39.663,0.609,277.494,14.107,4.194
8.060,-39.943,0.609,277.474,14.159,4.320
8.080,-40.222,0.609,277.449,14.206,4.465
8.100,-40.502,0.609,277.419,14.248,4.627
8.120,-40.783,0.609,277.383,14.285,4.805
8.140,-41.062,0.609,277.341,14.316,4.998
8.160,-41.342,0.609,277.291,14.343,5.204
8.180,-41.620,0.610,277.233,14.365,5.423
8.200,-41.896,0.610,277.168,14.385,5.653
8.220,-42.171,0.610,277.093,14.402,5.892
8.240,-42.444,0.610,277.010,14.415,6.141
8.260,-42.714,0.610,276.917,14.426,6.397
8.280,-42.980,0.611,276.814,14.436,6.659
8.300,-43.242,0.611,276.702,14.443,6.928
8.320,-43.500,0.611,276.579,14.449,6.959
8.340,-43.753,0.611,276.446,14.451,6.692
8.360,-44.001,0.611,276.303,14.455,6.422
8.380,-44.243,0.611,276.151,14.458,6.150
8.400,-44.479,0.611,275.990,14.460,5.876
8.420,-44.709,0.611,275.820,14.462,5.600
8.440,-44.932,0.611,275.641,14.463,5.322
8.460,-45.149,0.611,275.454,14.464,5.042
8.480,-45.357,0.611,275.258,14.465,4.761
8.500,-45.559,0.611,275.055,14.465,4.478
8.520,-45.753,0.611,274.845,14.465,4.194
8.540,-45.938,0.611,274.627,14.464,3.910
8.560,-46.115,0.611,274.403,14.464,3.624
8.580,-46.284,0.611,274.172,14.463,3.338
8.600,-46.444,0.611,273.935,14.461,3.052
8.620,-46.595,0.611,273.692,14.460,2.767
8.640,-46.737,0.611,273.443,14.459,2.482
8.660,-46.870,0.611,273.190,14.457,2.199
8.680,-46.993,0.611,272.932,14.455,1.918
8.700,-47.107,0.611,272.670,14.454,1.643
8.720,-47.211,0.611,272.404,14.452,1.375
8.740,-47.305,0.611,272.134,14.450,1.122
8.760,-47.389,0.611,271.861,14.448,0.895
8.780,-47.463,0.611,271.585,14.446,0.721
8.800,-47.528,0.612,271.307,14.430,0.645
8.820,-47.584,0.612,271.027,14.444,0.697
8.840,-47.632,0.613,270.745,14.451,0.854
8.860,-47.673,0.612,270.461,14.479,1.070
8.880,-47.708,0.612,270.177,14.488,1.317
8.900,-47.739,0.611,269.891,14.518,1.579
8.920,-47.765,0.611,269.605,14.542,1.851
8.940,-47.788,0.611,269.318,14.561,2.128
8.960,-47.808,0.612,269.030,14.598,2.409
8.980,-47.825,0.613,268.741,14.623,2.693
9.000,-47.839,0.613,268.451,14.671,2.980
9.020,-47.854,0.612,268.160,14.699,3.267
9.040,-47.869,0.611,267.869,14.720,3.556
9.060,-47.884,0.610,267.577,14.756,3.845
9.080,-47.898,0.610,267.285,14.783,4.136
9.100,-47.911,0.610,266.992,14.809,4.428
9.120,-47.920,0.610,266.698,14.843,4.721
9.140,-47.924,0.610,266.404,14.863,5.014
9.160,-47.923,0.609,266.109,14.882,5.309
9.180,-47.916,0.609,265.814,14.896,5.191
9.200,-47.902,0.609,265.520,14.903,4.935
9.220,-47.880,0.609,265.225,14.906,4.680
9.240,-47.852,0.609,264.931,14.916,4.427
9.260,-47.818,0.609,264.637,14.930,4.176
9.280,-47.779,0.609,264.344,14.944,3.927
9.300,-47.735,0.610,264.051,14.963,3.683
9.320,-47.689,0.610,263.758,14.985,3.444
9.340,-47.640,0.610,263.465,15.000,3.214
9.360,-47.590,0.610,263.171,15.000,2.994
9.380,-47.539,0.610,262.878,15.000,2.788
9.400,-47.488,0.610,262.585,15.000,2.601
9.420,-47.439,0.610,262.291,15.000,2.436
9.440,-47.391,0.610,261.997,15.000,2.300
9.460,-47.345,0.610,261.703,15.000,2.198
9.480,-47.301,0.610,261.409,15.000,2.134
9.500,-47.258,0.610,261.114,15.000,2.112
9.520,-47.215,0.610,260.820,15.000,2.132
9.540,-47.174,0.610,260.525,15.000,2.194
9.560,-47.132,0.610,260.230,15.000,2.293
9.580,-47.089,0.610,259.936,15.000,2.424
9.600,-47.044,0.610,259.641,15.000,2.580
9.620,-46.996,0.610,259.348,15.000,2.757
9.640,-46.943,0.610,259.055,15.000,2.951
9.660,-46.884,0.610,258.763,15.000,3.156
9.680,-46.820,0.610,258.473,15.000,3.372
9.700,-46.750,0.610,258.184,15.000,3.595
9.720,-46.672,0.610,257.897,15.000,3.823
9.740,-46.586,0.610,257.613,15.000,4.055
9.760,-46.492,0.610,257.331,14.997,4.290
9.780,-46.389,0.610,257.053,14.991,4.527
9.800,-46.277,0.610,256.778,14.983,4.765
9.820,-46.155,0.610,256.507,14.975,5.003
9.840,-46.025,0.610,256.241,14.964,5.241
9.860,-45.884,0.611,255.981,14.953,5.478
9.880,-45.734,0.611,255.726,14.939,5.714
9.900,-45.575,0.611,255.477,14.927,5.948
9.920,-45.407,0.611,255.234,14.917,6.183
9.940,-45.233,0.611,254.996,14.910,6.416
9.960,-45.051,0.611,254.763,14.906,6.650
9.980,-44.863,0.611,254.535,14.907,6.883
10.000,-44.670,0.611,254.312,14.912,7.117
10.020,-44.472,0.611,254.093,14.921,7.352
10.040,-44.270,0.611,253.877,14.937,7.588
10.060,-44.065,0.611,253.663,14.955,7.826
10.080,-43.857,0.610,253.452,14.975,8.067
10.100,-43.647,0.610,253.241,14.996,8.310
10.120,-43.436,0.610,253.032,15.000,8.557
10.140,-43.224,0.610,252.823,15.000,8.806
10.160,-43.013,0.610,252.613,15.000,9.058
10.180,-42.802,0.610,252.403,15.000,9.314
10.200,-42.592,0.610,252.192,15.000,9.573
10.220,-42.384,0.610,251.979,15.000,9.835
10.240,-42.177,0.610,251.765,15.000,10.099
10.260,-41.972,0.610,251.550,15.000,10.366
10.280,-41.767,0.610,251.334,15.000,10.636
10.300,-41.563,0.610,251.117,15.000,10.907
10.320,-41.360,0.610,250.900,15.000,11.180
10.340,-41.157,0.610,250.681,15.000,11.036
10.360,-40.956,0.610,250.462,15.000,10.743
10.380,-40.755,0.610,250.243,15.000,10.450
10.400,-40.555,0.610,250.022,15.000,10.157
10.420,-40.357,0.610,249.800,15.000,9.863
10.440,-40.162,0.610,249.575,15.000,9.570
10.460,-39.971,0.610,249.347,15.000,9.276
10.480,-39.783,0.610,249.117,15.000,8.981
10.500,-39.600,0.610,248.882,15.000,8.686
10.520,-39.422,0.610,248.644,15.000,8.391
10.540,-39.250,0.610,248.401,15.000,8.095
10.560,-39.085,0.610,248.154,15.000,7.798
10.580,-38.927,0.610,247.903,14.999,7.501
10.600,-38.777,0.610,247.647,14.995,7.204
10.620,-38.634,0.610,247.386,14.991,6.908
10.640,-38.501,0.611,247.121,14.984,6.611
10.660,-38.377,0.611,246.852,14.976,6.316
10.680,-38.262,0.611,246.579,14.965,6.023
10.700,-38.155,0.611,246.303,14.963,5.731
10.720,-38.056,0.611,246.023,14.958,5.441
10.740,-37.965,0.611,245.741,14.958,5.155
10.760,-37.881,0.611,245.457,14.962,4.871
10.780,-37.803,0.611,245.171,14.973,4.591
10.800,-37.730,0.611,244.883,14.987,4.314
10.820,-37.661,0.611,244.594,15.000,4.042
10.840,-37.595,0.611,244.304,15.000,3.775
10.860,-37.531,0.610,244.014,15.000,3.514
10.880,-37.469,0.610,243.723,15.000,3.259
10.900,-37.406,0.610,243.431,15.000,3.013
10.920,-37.344,0.610,243.140,15.000,2.777
10.940,-37.280,0.610,242.850,15.000,2.552
10.960,-37.215,0.610,242.559,15.000,2.343
10.980,-37.148,0.610,242.269,15.000,2.153
11.000,-37.080,0.610,241.980,15.000,1.989
11.020,-37.010,0.610,241.690,15.000,1.858
11.040,-36.940,0.610,241.401,15.000,1.766
11.060,-36.869,0.610,241.112,15.000,1.721
